MachineID,Vibration_Hz,Temperature_C,Pressure_PSI,Acoustic_Noise_dB,Rotation_RPM,Power_Consumption_kW
M-SENS-4046,43.69,65.6,103.2,55.7,1728,16.04
M-SENS-4047,43.56,59.7,110.3,52.9,1707,16.04
M-SENS-4048,51.45,62.6,103.1,60.8,1781,15.23
M-SENS-4049,50.82,68.7,102.2,55.0,1762,14.79
M-SENS-4050,5.77,93.3,46.7,112.5,2220,24.5
M-SENS-4051,47.86,67.7,102.1,55.1,1792,13.79
M-SENS-4052,48.34,63.2,99.8,54.1,1759,13.82
M-SENS-4053,52.4,61.4,101.1,53.7,1815,14.36
M-SENS-4054,51.61,59.1,103.3,57.7,1753,15.05
M-SENS-4055,46.19,70.6,113.5,53.9,1729,15.36
M-SENS-4056,53.53,62.9,99.9,54.2,1689,13.47
M-SENS-4057,44.49,61.9,101.8,55.7,1819,13.4
M-SENS-4058,51.45,64.1,101.8,57.0,1699,14.51
M-SENS-4059,48.58,67.0,103.4,62.4,1721,13.78
M-SENS-4060,45.82,62.8,98.8,58.6,1813,13.74
M-SENS-4061,45.09,66.9,99.2,56.9,1759,12.99
M-SENS-4062,53.42,72.2,98.9,53.8,1762,14.47
M-SENS-4063,50.3,73.0,101.1,52.6,1687,13.62
M-SENS-4064,47.88,72.2,99.4,55.7,1749,15.15
M-SENS-4065,56.84,62.9,99.6,58.1,1780,15.68
M-SENS-4066,50.04,63.6,105.0,58.3,1786,14.61
M-SENS-4067,51.73,69.7,108.9,56.9,1742,14.32
M-SENS-4068,52.22,61.7,103.8,53.8,1751,15.22
M-SENS-4069,9.31,28.4,49.0,109.6,2277,29.04
M-SENS-4070,43.85,63.4,105.9,57.0,1773,13.7
M-SENS-4071,50.63,68.9,98.5,54.9,1840,13.61
M-SENS-4072,42.03,70.5,107.7,53.6,1744,13.22
M-SENS-4073,48.31,69.7,99.3,57.6,1770,14.66
M-SENS-4074,46.3,63.6,92.8,53.3,1802,13.46
M-SENS-4075,45.27,67.6,104.0,57.1,1697,16.25
M-SENS-4076,43.74,65.6,101.2,51.4,1733,14.22
M-SENS-4077,45.73,68.7,101.2,51.0,1685,14.68
M-SENS-4078,42.8,66.3,104.2,52.0,1790,12.83
M-SENS-4079,49.04,64.8,101.4,51.5,1707,15.5
M-SENS-4080,52.25,68.0,106.7,57.5,1735,14.24
M-SENS-4081,42.85,64.6,107.9,53.0,1796,14.27
M-SENS-4082,43.15,60.6,106.6,56.7,1754,13.98
M-SENS-4083,48.74,68.5,109.4,59.6,1766,14.06
M-SENS-4084,48.51,67.1,104.6,58.9,1845,14.04
M-SENS-4085,55.55,69.7,101.5,59.5,1825,13.83
M-SENS-4086,54.06,69.3,113.8,53.7,1734,12.58
M-SENS-4087,50.0,66.5,99.2,54.8,1690,15.16
M-SENS-4088,46.29,77.4,101.1,52.7,1731,13.07
M-SENS-4089,49.69,63.3,107.7,54.2,1812,14.81
M-SENS-4090,48.1,71.3,106.8,63.8,1731,14.26
M-SENS-4091,53.49,58.8,108.6,56.3,1710,13.11
M-SENS-4092,45.65,55.9,99.6,56.9,1728,15.31
M-SENS-4093,53.81,70.1,103.2,48.0,1718,14.09
M-SENS-4094,44.87,64.4,110.1,50.1,1831,14.91
M-SENS-4095,48.94,62.1,97.6,50.1,1827,15.43
M-SENS-4096,43.08,62.8,104.2,54.1,1663,13.67
M-SENS-4097,54.83,62.6,101.2,51.6,1776,14.29
M-SENS-4098,45.4,59.8,109.0,50.2,1772,12.48
M-SENS-4099,50.48,68.9,107.5,54.5,1821,16.05
M-SENS-4100,46.87,63.2,102.7,53.6,1721,13.77
M-SENS-4101,54.01,68.1,99.6,47.6,1680,14.6
M-SENS-4102,40.57,66.2,96.7,55.3,1752,14.3
M-SENS-4103,46.62,63.3,98.4,56.5,1786,13.22
M-SENS-4104,47.82,65.8,102.9,55.5,1731,14.42
M-SENS-4105,50.16,65.6,104.5,58.0,1666,14.95
M-SENS-4106,49.2,60.6,106.0,53.8,1738,13.79
M-SENS-4107,49.06,61.9,106.5,54.6,1733,14.8
M-SENS-4108,46.88,68.8,106.9,51.0,1799,13.03
M-SENS-4109,52.1,73.1,106.4,48.5,1797,16.0
M-SENS-4110,46.94,64.9,96.1,55.9,1807,14.76
M-SENS-4111,59.0,65.1,93.8,55.5,1641,13.77
M-SENS-4112,53.69,66.3,102.9,60.5,1737,15.21
M-SENS-4113,48.45,66.5,95.9,53.6,1687,14.12
M-SENS-4114,49.37,60.6,112.2,55.8,1752,14.82
M-SENS-4115,45.1,65.7,98.4,59.7,1702,14.25
M-SENS-4116,49.15,66.6,99.1,52.3,1724,14.62
M-SENS-4117,47.5,68.2,104.4,48.2,1761,16.0
M-SENS-4118,52.64,66.7,96.7,56.4,1783,14.0
M-SENS-4119,49.11,71.0,97.7,51.8,1781,14.57
M-SENS-4120,51.6,67.3,99.2,56.3,1698,14.0
M-SENS-4121,49.76,63.6,114.3,49.3,1725,13.45
M-SENS-4122,45.55,62.4,95.4,57.3,1725,14.33
M-SENS-4123,46.48,62.2,110.4,57.8,1665,12.62
M-SENS-4124,51.65,62.9,93.8,58.1,1757,14.4
M-SENS-4125,50.83,59.8,93.8,59.7,1685,13.22
M-SENS-4126,44.42,73.3,104.5,57.9,1758,13.72
M-SENS-4127,50.21,58.8,96.5,57.2,1688,14.05
M-SENS-4128,47.5,62.9,92.2,53.1,1712,14.33
M-SENS-4129,48.39,66.5,98.6,56.6,1679,12.74
M-SENS-4130,39.83,63.0,98.2,57.4,1720,14.42
M-SENS-4131,50.85,62.3,103.5,58.0,1694,14.22
M-SENS-4132,45.61,60.3,94.3,51.4,1752,12.91
M-SENS-4133,46.07,68.3,104.2,53.4,1826,15.71
M-SENS-4134,48.09,55.1,106.4,48.1,1816,15.07
M-SENS-4135,54.21,66.0,100.2,53.6,1725,14.98
M-SENS-4136,50.49,65.5,98.4,62.9,1791,12.92
M-SENS-4137,46.19,68.7,98.0,56.1,1792,11.5
M-SENS-4138,47.62,64.7,99.9,55.9,1779,14.31
M-SENS-4139,124.42,23.2,172.1,86.8,775,28.3
M-SENS-4140,116.28,21.1,33.0,105.7,879,5.46
M-SENS-4141,49.72,60.9,104.4,57.2,1730,15.26
M-SENS-4142,43.55,70.4,92.3,63.1,1731,13.27
M-SENS-4143,47.19,60.8,103.9,59.1,1705,14.66
M-SENS-4144,42.64,69.1,104.1,58.2,1744,13.85
M-SENS-4145,50.86,59.8,93.3,55.0,1732,14.64
M-SENS-4146,51.82,67.1,107.1,56.0,1772,14.11
M-SENS-4147,49.63,65.7,103.6,54.5,1786,13.63
M-SENS-4148,47.94,70.2,97.3,48.5,1766,13.99
M-SENS-4149,51.54,64.5,99.0,54.8,1799,14.66
M-SENS-4150,39.48,65.7,103.2,54.9,1722,15.16
M-SENS-4151,52.35,56.2,98.0,54.6,1792,14.23
M-SENS-4152,45.61,67.8,100.9,54.6,1748,14.66
M-SENS-4153,46.92,67.7,101.6,51.8,1748,13.39
M-SENS-4154,12.81,113.7,150.0,96.2,2459,4.1
M-SENS-4155,47.23,63.9,103.5,57.4,1788,13.73
M-SENS-4156,47.42,66.1,100.8,59.8,1772,14.79
M-SENS-4157,50.32,69.7,102.9,51.1,1767,13.68
M-SENS-4158,46.15,67.3,108.2,55.1,1763,15.56
M-SENS-4159,48.84,75.4,104.8,49.7,1783,14.5
M-SENS-4160,52.51,67.7,101.3,51.3,1740,13.52
M-SENS-4161,45.97,67.4,110.3,56.2,1696,14.56
M-SENS-4162,52.19,62.6,101.3,55.0,1714,14.72
M-SENS-4163,47.58,66.7,97.6,53.7,1782,13.9
M-SENS-4164,54.04,63.4,103.1,57.8,1686,12.79
M-SENS-4165,42.66,70.1,99.2,62.7,1724,14.35
M-SENS-4166,53.4,73.0,112.3,58.6,1796,14.67
M-SENS-4167,50.72,62.8,97.9,55.0,1742,13.84
M-SENS-4168,50.44,68.8,102.4,59.4,1698,14.05
M-SENS-4169,45.49,57.5,101.6,54.6,1818,14.7
M-SENS-4170,44.42,72.4,108.1,56.7,1739,13.43
M-SENS-4171,46.7,69.4,111.4,59.6,1728,13.3
M-SENS-4172,48.49,57.9,103.6,54.6,1729,12.92
M-SENS-4173,49.8,62.9,96.2,46.4,1748,15.62
M-SENS-4174,53.81,63.2,99.0,56.4,1705,14.44
M-SENS-4175,50.68,69.9,101.5,54.4,1710,13.54
M-SENS-4176,47.21,66.5,106.6,52.6,1817,13.98
M-SENS-4177,47.93,62.0,89.9,57.7,1783,13.97
M-SENS-4178,48.23,67.1,94.2,53.4,1785,13.2
M-SENS-4179,49.03,59.6,104.3,54.9,1677,15.13
M-SENS-4180,45.43,61.8,103.0,58.4,1704,14.25
M-SENS-4181,49.5,67.8,102.9,53.9,1712,14.27
M-SENS-4182,44.25,53.3,104.2,57.7,1643,13.39
M-SENS-4183,50.17,73.2,102.1,52.8,1741,15.3
M-SENS-4184,45.74,61.8,99.6,52.1,1755,15.5
M-SENS-4185,49.13,64.0,100.5,50.3,1789,14.14
M-SENS-4186,47.37,77.8,103.5,52.7,1730,15.12
M-SENS-4187,48.4,59.2,106.6,53.0,1834,15.06
M-SENS-4188,46.43,70.1,102.3,57.6,1771,13.52
M-SENS-4189,45.75,69.1,100.3,53.8,1707,14.54
M-SENS-4190,55.22,60.7,102.1,59.2,1746,14.56
M-SENS-4191,44.28,66.7,101.1,58.0,1803,16.27
M-SENS-4192,50.03,66.3,103.0,53.9,1765,13.96
M-SENS-4193,48.59,70.3,97.0,58.4,1809,14.11
M-SENS-4194,40.57,62.6,108.5,54.9,1705,13.8
M-SENS-4195,50.94,67.2,100.8,53.9,1732,13.46
M-SENS-4196,53.65,63.7,108.1,59.6,1794,13.85
M-SENS-4197,49.41,64.9,97.5,56.0,1696,15.15
M-SENS-4198,46.37,65.8,103.4,54.2,1776,13.82
M-SENS-4199,51.05,59.6,102.6,60.8,1704,13.66
M-SENS-4200,49.8,65.7,103.8,56.5,1778,15.09
M-SENS-4201,49.43,64.0,105.4,60.7,1744,13.42
M-SENS-4202,51.87,64.5,91.1,57.5,1725,14.13
M-SENS-4203,49.16,65.8,105.5,53.7,1773,13.99
M-SENS-4204,50.59,67.5,97.3,58.3,1725,14.85
M-SENS-4205,49.29,72.4,100.9,54.0,1749,13.96
M-SENS-4206,50.8,58.5,96.7,51.8,1792,15.57
M-SENS-4207,47.63,64.3,102.4,58.5,1708,14.39
M-SENS-4208,51.41,67.0,102.9,58.0,1628,14.74
M-SENS-4209,45.71,57.7,104.6,59.1,1743,14.96
M-SENS-4210,53.64,70.3,110.2,57.2,1753,12.92
M-SENS-4211,47.14,61.6,112.9,54.5,1755,14.64
M-SENS-4212,48.15,71.8,98.9,55.6,1716,13.14
M-SENS-4213,45.86,64.9,99.9,52.9,1686,14.13
M-SENS-4214,42.73,68.0,102.4,50.6,1736,13.6
M-SENS-4215,49.12,70.4,92.6,55.3,1742,14.74
M-SENS-4216,48.75,62.0,100.4,52.6,1798,14.22
M-SENS-4217,54.65,64.8,98.5,50.5,1668,12.93
M-SENS-4218,48.93,67.0,94.1,57.7,1728,14.32
M-SENS-4219,53.64,68.6,100.7,52.3,1653,13.62
M-SENS-4220,47.26,61.1,101.3,55.2,1739,13.68
M-SENS-4221,48.59,66.8,96.5,59.2,1745,14.22
M-SENS-4222,50.48,65.9,106.8,55.9,1722,14.49
M-SENS-4223,44.0,65.4,101.8,54.4,1744,12.69
M-SENS-4224,46.08,65.4,102.8,51.9,1806,13.51
M-SENS-4225,51.39,66.7,98.8,60.3,1696,14.94
M-SENS-4226,16.83,99.5,183.6,88.0,2733,29.81
M-SENS-4227,52.89,77.3,104.2,51.9,1743,14.54
M-SENS-4228,39.78,66.3,104.2,59.0,1804,14.29
M-SENS-4229,53.3,73.1,102.1,56.3,1670,13.04
M-SENS-4230,45.07,63.2,96.5,54.9,1731,15.06
M-SENS-4231,46.34,55.9,102.6,55.0,1711,14.28
M-SENS-4232,44.24,66.3,115.2,49.6,1726,13.66
M-SENS-4233,46.48,69.1,104.7,57.5,1751,13.14
M-SENS-4234,44.1,68.0,102.9,58.8,1763,13.25
M-SENS-4235,46.17,67.3,105.6,57.6,1702,13.24
M-SENS-4236,47.34,70.8,98.5,56.4,1770,14.81
M-SENS-4237,53.83,71.2,99.0,48.7,1719,14.26
M-SENS-4238,46.73,72.9,102.1,57.0,1759,13.92
M-SENS-4239,41.26,64.7,118.0,51.3,1668,15.75
M-SENS-4240,50.6,65.7,108.8,52.5,1745,14.96
M-SENS-4241,104.96,34.3,189.8,98.2,2708,26.05
M-SENS-4242,56.17,65.8,111.8,54.3,1792,15.08
M-SENS-4243,46.57,62.0,107.7,53.4,1709,13.65
M-SENS-4244,46.13,68.4,104.6,57.1,1768,13.72
M-SENS-4245,50.44,69.7,104.9,56.3,1715,14.37
M-SENS-4246,45.13,64.9,93.8,50.1,1741,13.76
M-SENS-4247,89.99,115.0,39.0,88.4,645,22.65
M-SENS-4248,8.17,32.1,38.0,94.6,2485,24.85
M-SENS-4249,52.76,59.8,86.9,55.6,1831,15.19
M-SENS-4250,48.73,63.0,106.0,52.1,1771,14.6
M-SENS-4251,51.71,76.0,104.0,53.5,1748,12.78
M-SENS-4252,45.57,63.4,99.4,55.5,1712,15.1
M-SENS-4253,48.0,65.0,100.4,55.5,1787,13.51
M-SENS-4254,45.7,63.8,95.3,52.5,1728,14.9
M-SENS-4255,48.92,65.8,106.3,54.6,1767,14.12
M-SENS-4256,48.93,62.7,89.8,54.6,1814,14.94
M-SENS-4257,51.38,69.9,102.4,55.6,1722,13.95
M-SENS-4258,50.16,69.8,101.3,53.6,1750,14.68
M-SENS-4259,42.95,55.8,99.2,51.3,1727,14.08
M-SENS-4260,46.41,70.8,103.6,55.9,1777,13.29
M-SENS-4261,106.25,118.3,158.3,88.8,1084,5.85
M-SENS-4262,45.17,65.6,102.6,54.1,1773,14.67
M-SENS-4263,44.76,65.4,96.6,57.4,1757,14.27
M-SENS-4264,50.31,63.9,106.6,52.2,1813,13.76
M-SENS-4265,42.06,63.7,99.8,54.0,1760,15.08
M-SENS-4266,47.33,62.2,96.4,53.6,1665,13.62
M-SENS-4267,52.35,61.7,105.1,51.3,1829,15.67
M-SENS-4268,50.07,73.0,103.8,57.3,1806,14.34
M-SENS-4269,42.57,68.2,99.6,53.8,1763,14.65
M-SENS-4270,48.53,67.5,98.5,54.9,1788,15.62
M-SENS-4271,55.44,66.7,106.2,60.9,1719,14.7
M-SENS-4272,50.69,70.8,96.3,52.2,1750,14.5
M-SENS-4273,51.93,67.1,101.2,56.2,1763,15.6
M-SENS-4274,48.58,63.5,104.2,55.6,1679,14.19
M-SENS-4275,47.65,62.8,107.2,52.6,1770,14.08
M-SENS-4276,48.38,66.6,95.5,55.6,1853,12.95
M-SENS-4277,47.8,69.5,103.5,57.1,1643,14.68
M-SENS-4278,45.33,66.2,101.9,61.8,1774,14.11
M-SENS-4279,42.72,65.5,106.1,54.8,1727,13.74
M-SENS-4280,49.87,68.0,108.8,52.0,1773,14.1
M-SENS-4281,47.68,66.6,104.0,56.6,1702,13.6
M-SENS-4282,53.2,64.1,103.5,58.2,1770,14.64
M-SENS-4283,51.13,56.5,99.6,56.4,1812,14.25
M-SENS-4284,45.04,61.7,106.4,54.3,1749,14.69
M-SENS-4285,37.84,73.0,98.3,55.7,1673,13.86
M-SENS-4286,52.36,57.3,107.6,54.2,1771,14.73
M-SENS-4287,49.54,61.5,100.2,50.6,1772,15.56
M-SENS-4288,41.61,62.0,101.1,55.5,1789,14.08
M-SENS-4289,46.89,69.4,105.3,56.6,1755,14.99
M-SENS-4290,45.7,61.8,105.7,50.1,1754,13.95
M-SENS-4291,43.08,61.3,101.5,58.1,1720,15.17
M-SENS-4292,48.22,70.2,99.0,54.9,1766,14.06
M-SENS-4293,51.34,56.2,114.1,57.6,1742,13.76
M-SENS-4294,44.97,67.6,107.0,54.5,1799,13.47
M-SENS-4295,44.21,72.3,105.0,59.2,1711,13.46
M-SENS-4296,46.74,61.7,105.5,52.7,1697,14.31
M-SENS-4297,43.49,57.8,102.7,49.8,1784,13.08
M-SENS-4298,40.16,63.8,102.7,56.5,1757,13.35
M-SENS-4299,50.5,68.8,96.0,54.5,1737,14.38
M-SENS-4300,47.28,64.7,105.2,51.7,1783,15.11
M-SENS-4301,53.72,56.4,101.1,49.1,1640,14.32
M-SENS-4302,46.6,66.2,104.4,58.7,1752,16.54
M-SENS-4303,49.07,72.4,90.3,59.0,1741,12.64
M-SENS-4304,49.47,63.8,104.9,58.0,1682,15.01
M-SENS-4305,12.52,100.3,183.3,85.4,2604,22.26
M-SENS-4306,52.37,58.9,108.1,52.4,1719,14.08
M-SENS-4307,45.54,68.7,111.1,53.0,1730,14.07
M-SENS-4308,49.89,64.4,108.9,58.4,1696,14.62
M-SENS-4309,53.32,63.0,100.5,53.4,1727,12.87
M-SENS-4310,43.35,65.3,109.6,53.2,1721,15.56
M-SENS-4311,44.12,58.4,97.9,53.0,1671,14.1
M-SENS-4312,51.32,59.9,102.4,56.2,1746,14.35
M-SENS-4313,13.99,95.0,145.7,101.9,903,4.08
M-SENS-4314,47.53,61.0,95.5,56.5,1776,15.24
M-SENS-4315,46.24,64.4,95.1,59.6,1753,14.78
M-SENS-4316,50.65,70.8,97.8,57.1,1748,15.88
M-SENS-4317,45.08,69.7,103.8,55.9,1752,15.28
M-SENS-4318,48.92,58.9,108.1,58.1,1776,13.3
M-SENS-4319,44.59,57.5,104.3,51.0,1672,15.22
M-SENS-4320,50.69,63.7,101.3,47.8,1791,13.65
M-SENS-4321,49.16,55.0,106.9,52.7,1688,13.93
M-SENS-4322,45.91,69.3,99.9,59.1,1764,14.92
M-SENS-4323,47.99,70.1,96.2,55.3,1732,15.32
M-SENS-4324,16.78,24.5,44.1,112.8,958,4.64
M-SENS-4325,47.02,63.9,106.0,56.0,1775,14.97
M-SENS-4326,46.84,62.6,96.6,52.5,1882,15.2
M-SENS-4327,43.27,59.7,104.4,56.6,1774,14.0
M-SENS-4328,47.56,66.3,102.4,48.3,1739,13.52
M-SENS-4329,48.61,76.9,103.8,54.1,1791,14.59
M-SENS-4330,49.47,67.4,112.3,51.6,1771,13.46
M-SENS-4331,49.94,61.3,99.9,54.1,1793,14.93
M-SENS-4332,43.64,65.2,98.5,51.2,1740,13.95
M-SENS-4333,56.49,66.7,95.1,53.3,1795,15.87
M-SENS-4334,42.45,57.5,111.4,56.2,1710,14.63
M-SENS-4335,38.77,65.0,103.6,57.8,1704,14.27
M-SENS-4336,44.76,66.0,97.5,53.8,1705,14.72
M-SENS-4337,51.0,64.1,102.2,50.7,1736,14.16
M-SENS-4338,57.17,60.6,109.3,58.0,1762,15.61
M-SENS-4339,49.3,66.6,101.7,58.7,1799,13.7
M-SENS-4340,43.38,64.2,98.0,54.8,1805,13.83
M-SENS-4341,47.85,65.2,106.2,48.3,1722,14.37
M-SENS-4342,52.2,63.0,92.6,56.9,1721,13.25
M-SENS-4343,45.81,64.3,99.0,48.4,1790,15.22
M-SENS-4344,50.28,60.4,101.0,55.0,1776,14.73
M-SENS-4345,45.43,65.3,104.3,59.4,1781,14.83
M-SENS-4346,48.29,70.6,104.0,52.4,1813,14.76
M-SENS-4347,46.45,63.1,103.5,56.4,1758,14.45
M-SENS-4348,53.95,69.3,103.0,57.8,1703,14.52
M-SENS-4349,54.33,64.1,97.8,53.0,1700,13.57
M-SENS-4350,46.7,59.4,102.1,57.7,1709,15.42
M-SENS-4351,49.79,69.1,98.7,57.6,1700,14.91
M-SENS-4352,48.6,67.2,96.1,52.3,1776,13.44
M-SENS-4353,49.62,59.5,106.2,51.3,1774,14.7
M-SENS-4354,45.56,67.3,103.3,53.4,1704,12.63
M-SENS-4355,49.22,58.7,102.5,54.2,1780,13.96
M-SENS-4356,46.85,67.9,103.7,55.9,1771,12.97
M-SENS-4357,50.65,67.4,96.9,54.3,1748,14.09
M-SENS-4358,49.17,70.7,107.4,51.1,1777,15.26
M-SENS-4359,49.35,69.4,112.1,58.1,1761,15.04
M-SENS-4360,48.51,65.1,100.2,59.7,1713,15.43
M-SENS-4361,49.75,59.4,103.8,48.7,1778,14.91
M-SENS-4362,45.93,65.5,111.8,53.5,1702,15.39
M-SENS-4363,54.87,65.0,107.1,59.0,1716,13.81
M-SENS-4364,52.31,71.7,104.8,52.4,1839,13.78
M-SENS-4365,46.83,66.4,109.8,57.6,1768,14.57
M-SENS-4366,13.04,33.2,38.3,87.4,2644,3.13
M-SENS-4367,48.58,64.6,95.1,56.9,1787,15.51
M-SENS-4368,49.55,65.0,96.9,59.5,1761,14.35
M-SENS-4369,47.11,63.7,105.4,51.9,1823,15.33
M-SENS-4370,46.76,61.5,91.9,51.2,1782,14.45
M-SENS-4371,49.73,57.6,100.0,59.1,1745,13.18
M-SENS-4372,47.61,61.9,103.7,55.1,1774,13.23
M-SENS-4373,46.43,69.4,95.2,52.0,1758,14.43
M-SENS-4374,46.29,63.9,104.7,57.5,1701,14.49
M-SENS-4375,53.29,64.5,96.6,51.6,1742,15.03
M-SENS-4376,47.86,65.8,97.0,57.9,1698,13.8
M-SENS-4377,50.2,56.8,102.9,51.9,1750,13.92
M-SENS-4378,55.37,63.4,111.2,56.8,1713,14.46
M-SENS-4379,46.93,66.0,98.4,60.1,1791,14.23
M-SENS-4380,54.05,65.3,107.5,55.1,1767,14.13
M-SENS-4381,48.33,65.7,98.7,53.8,1740,14.38
M-SENS-4382,47.89,69.7,106.2,54.4,1812,15.7
M-SENS-4383,40.85,68.7,98.5,57.4,1805,13.5
M-SENS-4384,41.52,68.3,102.7,50.0,1863,14.7
M-SENS-4385,50.35,70.5,99.1,55.4,1690,13.71
M-SENS-4386,49.35,58.3,98.8,52.2,1756,14.66
M-SENS-4387,50.6,69.0,108.9,56.8,1834,14.3
M-SENS-4388,47.39,67.4,100.9,60.6,1800,14.8
M-SENS-4389,48.46,63.4,105.5,51.6,1819,14.06
M-SENS-4390,14.39,26.6,189.8,98.5,2342,6.66
M-SENS-4391,45.15,62.8,108.1,53.5,1814,13.71
M-SENS-4392,49.14,63.2,105.8,51.6,1783,14.29
M-SENS-4393,45.76,64.3,109.7,55.4,1718,13.24
M-SENS-4394,49.77,65.8,105.5,50.6,1697,15.12
M-SENS-4395,49.16,67.1,97.2,52.1,1794,15.03
M-SENS-4396,44.19,59.9,101.5,52.6,1713,13.2
M-SENS-4397,46.36,60.4,96.5,55.9,1747,14.59
M-SENS-4398,42.23,65.0,112.4,53.9,1787,14.85
M-SENS-4399,51.03,65.7,104.8,57.1,1778,13.31
M-SENS-4400,42.02,58.8,100.6,56.8,1700,14.94
M-SENS-4401,46.24,63.0,97.8,49.3,1760,15.57
M-SENS-4402,47.78,57.6,105.9,50.1,1695,14.01
M-SENS-4403,48.43,61.0,100.6,57.1,1788,15.2
M-SENS-4404,54.68,68.2,100.9,57.6,1771,14.61
M-SENS-4405,48.62,61.4,96.9,54.7,1756,13.66
M-SENS-4406,49.48,73.3,93.3,56.7,1747,14.56
M-SENS-4407,46.49,64.4,102.6,54.1,1681,14.01
M-SENS-4408,43.04,67.6,92.7,58.1,1769,14.55
M-SENS-4409,40.42,63.7,107.8,53.4,1701,13.69
M-SENS-4410,47.76,61.6,108.2,54.8,1724,13.16
M-SENS-4411,121.38,24.1,33.6,87.3,2452,4.63
M-SENS-4412,14.29,110.6,155.1,103.4,2763,30.43
M-SENS-4413,52.06,63.7,104.1,58.6,1688,13.63
M-SENS-4414,46.99,61.9,110.7,52.4,1725,14.36
M-SENS-4415,43.79,63.4,103.6,54.0,1745,13.78
M-SENS-4416,42.7,66.3,110.8,55.1,1760,14.75
M-SENS-4417,43.56,71.8,103.0,59.9,1717,15.65
M-SENS-4418,50.71,67.2,103.2,54.3,1804,14.31
M-SENS-4419,41.12,60.5,101.1,55.9,1747,15.18
M-SENS-4420,41.17,65.6,92.9,57.3,1745,14.54
M-SENS-4421,44.98,70.1,107.2,56.8,1744,14.66
M-SENS-4422,45.53,68.4,110.2,58.2,1717,14.49
M-SENS-4423,43.47,67.3,104.3,49.4,1697,13.97
M-SENS-4424,46.95,60.2,103.9,55.8,1741,13.6
M-SENS-4425,51.67,71.6,99.6,53.2,1772,13.91
M-SENS-4426,47.51,68.0,92.5,59.0,1753,13.87
M-SENS-4427,47.69,64.8,93.3,59.5,1751,14.55
M-SENS-4428,51.33,60.9,104.4,54.2,1788,12.5
M-SENS-4429,47.65,62.6,104.2,56.4,1718,13.63
M-SENS-4430,47.61,61.4,106.2,53.9,1619,13.9
M-SENS-4431,44.37,58.5,95.8,55.3,1809,14.45
M-SENS-4432,45.88,66.8,99.7,52.9,1698,12.8
